Bulan;Inflasi
Jan-03;0.0868
Feb-03;0.076
Mar-03;0.0717
Apr-03;0.0762
Mei-03;0.0715
Jun-03;0.0698
Jul-03;0.0627
Agu-03;0.0651
Sep-03;0.0633
Okt-03;0.0648
Nov-03;0.0553
Des-03;0.0516
Jan-04;0.0482
Feb-04;0.046
Mar-04;0.0511
Apr-04;0.0592
Mei-04;0.0647
Jun-04;0.0683
Jul-04;0.072
Agu-04;0.0667
Sep-04;0.0627
Okt-04;0.0622
Nov-04;0.0618
Des-04;0.064
Jan-05;0.0732
Feb-05;0.0715
Mar-05;0.0881
Apr-05;0.0812
Mei-05;0.074
Jun-05;0.0742
Jul-05;0.0784
Agu-05;0.0833
Sep-05;0.0906
Okt-05;0.1789
Nov-05;0.1838
Des-05;0.1711
Jan-06;0.1703
Feb-06;0.1792
Mar-06;0.1574
Apr-06;0.154
Mei-06;0.156
Jun-06;0.1553
Jul-06;0.1515
Agu-06;0.149
Sep-06;0.1455
Okt-06;0.0629
Nov-06;0.0527
Des-06;0.066
Jan-07;0.0626
Feb-07;0.063
Mar-07;0.0652
Apr-07;0.0629
Mei-07;0.0601
Jun-07;0.0577
Jul-07;0.0606
Agu-07;0.0651
Sep-07;0.0695
Okt-07;0.0688
Nov-07;0.0671
Des-07;0.0659
Jan-08;0.0736
Feb-08;0.074
Mar-08;0.0817
Apr-08;0.0896
Mei-08;0.1038
Jun-08;0.1103
Jul-08;0.119
Agu-08;0.1185
Sep-08;0.1214
Okt-08;0.1177
Nov-08;0.1168
Des-08;0.1106
Jan-09;0.0917
Feb-09;0.086
Mar-09;0.0792
Apr-09;0.0731
Mei-09;0.0604
Jun-09;0.0365
Jul-09;0.0271
Agu-09;0.0275
Sep-09;0.0283
Okt-09;0.0257
Nov-09;0.0241
Des-09;0.0278
Jan-10;0.0372
Feb-10;0.0381
Mar-10;0.0343
Apr-10;0.0391
Mei-10;0.0416
Jun-10;0.0505
Jul-10;0.0622
Agu-10;0.0644
Sep-10;0.058
Okt-10;0.0567
Nov-10;0.0633
Des-10;0.0696
Jan-11;0.0702
Feb-11;0.0684
Mar-11;0.0665
Apr-11;0.0616
Mei-11;0.0598
Jun-11;0.0554
Jul-11;0.0461
Agu-11;0.0479
Sep-11;0.0461
Okt-11;0.0442
Nov-11;0.0415
Des-11;0.0379
Jan-12;0.0365
Feb-12;0.0356
Mar-12;0.0397
Apr-12;0.045
Mei-12;0.0445
Jun-12;0.0453
Jul-12;0.0456
Agu-12;0.0458
Sep-12;0.0431
Okt-12;0.0461
Nov-12;0.0432
Des-12;0.043
Jan-13;0.0457
Feb-13;0.0531
Mar-13;0.059
Apr-13;0.0557
Mei-13;0.0547
Jun-13;0.059
Jul-13;0.0861
Agu-13;0.0879
Sep-13;0.084
Okt-13;0.0832
Nov-13;0.0837
Des-13;0.0838
Jan-14;0.0822
Feb-14;0.0775
Mar-14;0.0732
Apr-14;0.0725
Mei-14;0.0732
Jun-14;0.067
Jul-14;0.0453
Agu-14;0.0399
Sep-14;0.0453
Okt-14;0.0483
Nov-14;0.0623
Des-14;0.0836
Jan-15;0.0696
Feb-15;0.0629
Mar-15;0.0638
Apr-15;0.0679
Mei-15;0.0715
Jun-15;0.0726
Jul-15;0.0726
Agu-15;0.0718
Sep-15;0.0683
Okt-15;0.0625
Nov-15;0.0489
Des-15;0.0335
Jan-16;0.0414
Feb-16;0.0442
Mar-16;0.0445
Apr-16;0.036
Mei-16;0.0333
Jun-16;0.0345
Jul-16;0.0321
Agu-16;0.0279
Sep-16;0.0307
Okt-16;0.0331
Nov-16;0.0358
Des-16;0.0302
Jan-17;0.0349
Feb-17;0.0383
Mar-17;0.0361
Apr-17;0.0417
Mei-17;0.0433
Jun-17;0.0437
Jul-17;0.0388
Agu-17;0.0382
Sep-17;0.0372
Okt-17;0.0358
Nov-17;0.033
Des-17;0.0361
Jan-18;0.0325
Feb-18;0.0318
Mar-18;0.034
Apr-18;0.0341
Mei-18;0.0323
Jun-18;0.0312
Jul-18;0.0318
Agu-18;0.032
Sep-18;0.0288
Okt-18;0.0316
Nov-18;0.0323
